time_step Pventricular Vventricular Paorta Qaorta Patrial Vatrial Qatrial
358 42082.7121 241.934679 43273.5843 -1.36238464 47520.9352 237.604676 122.537146
359 41133.1965 243.454179 11010.4961 0 47385.0635 236.925318 180.000543
360 40536.7923 245.549594 41233.1924 -1.0449509 47133.6914 235.668457 238.037557
361 40403.0497 248.198936 4688.10948 0 46771.534 233.85767 290.785842
362 40709.1136 251.320387 40637.2864 -0.436689648 46314.3465 231.571733 333.067676
363 41283.582 254.797764 40284.0435 -0.00612604509 45785.9799 228.929899 361.964935
364 41869.9697 258.495003 41154.0854 0.103167195 45213.1011 226.065506 377.579827
365 42245.8373 262.295317 41786.5439 -0.0582548741 44619.6593 223.098296 382.528024
366 42297.4659 266.113132 41972.4082 -0.348759157 44023.1695 220.115847 380.627789
367 42206.7742 269.889148 41718.6176 -0.459602497 43435.4405 217.177203 373.767131
368 42212.1997 273.568978 41502.4167 -0.325934539 42866.9262 214.334631 361.41325
369 42582.9742 277.079524 41617.9446 0.0912113885 42331.7176 211.658588 340.461305
370 43448.408 280.312354 42363.1522 0.666636533 41851.0598 209.255299 306.862506
371 44698.8564 283.128302 43733.4222 1.17813942 41452.6914 207.263457 258.171911
